date,cv,professions,regions,industries,vacancy,invitation,response,added
20220704,data-20220704T004153-structure-20161130T143000.xml.gz,data-20220704T012800-structure-20161130T143000.xml.gz,data-20220704T012800-structure-20161130T143000.xml.gz,data-20220704T012800-structure-20161130T143000.xml.gz,data-20220704T202819-structure-20161130T143000.xml.gz,data-20220704T201239-structure-20161130T143000.xml.gz,data-20220704T201239-structure-20161130T143000.xml.gz,False
20220703,data-20220703T015219-structure-20161130T143000.xml.gz,data-20220703T012532-structure-20161130T143000.xml.gz,data-20220703T012532-structure-20161130T143000.xml.gz,data-20220703T012532-structure-20161130T143000.xml.gz,data-20220703T185931-structure-20161130T143000.xml.gz,data-20220703T172444-structure-20161130T143000.xml.gz,data-20220703T172444-structure-20161130T143000.xml.gz,False
20220701,data-20220701T145435-structure-20161130T143000.xml.gz,data-20220701T015703-structure-20161130T143000.xml.gz,data-20220701T015703-structure-20161130T143000.xml.gz,data-20220701T015703-structure-20161130T143000.xml.gz,,,,False
20220630,data-20220630T165202-structure-20161130T143000.xml.gz,data-20220630T015057-structure-20161130T143000.xml.gz,data-20220630T015057-structure-20161130T143000.xml.gz,data-20220630T015057-structure-20161130T143000.xml.gz,,data-20220630T221410-structure-20161130T143000.xml.gz,data-20220630T221410-structure-20161130T143000.xml.gz,False
20220629,data-20220629T125942-structure-20161130T143000.xml.gz,data-20220629T020012-structure-20161130T143000.xml.gz,data-20220629T020012-structure-20161130T143000.xml.gz,data-20220629T020012-structure-20161130T143000.xml.gz,,data-20220629T213521-structure-20161130T143000.xml.gz,data-20220629T213521-structure-20161130T143000.xml.gz,False
20220626,data-20220626T112417-structure-20161130T143000.xml.gz,data-20220626T022257-structure-20161130T143000.xml.gz,data-20220626T022257-structure-20161130T143000.xml.gz,data-20220626T022257-structure-20161130T143000.xml.gz,,data-20220626T194512-structure-20161130T143000.xml.gz,data-20220626T194512-structure-20161130T143000.xml.gz,False
20220625,data-20220625T130231-structure-20161130T143000.xml.gz,data-20220625T015555-structure-20161130T143000.xml.gz,data-20220625T015555-structure-20161130T143000.xml.gz,data-20220625T015555-structure-20161130T143000.xml.gz,data-20220625T223417-structure-20161130T143000.xml.gz,data-20220625T201254-structure-20161130T143000.xml.gz,data-20220625T201254-structure-20161130T143000.xml.gz,False
20220624,data-20220624T140347-structure-20161130T143000.xml.gz,data-20220624T015401-structure-20161130T143000.xml.gz,data-20220624T015401-structure-20161130T143000.xml.gz,data-20220624T015401-structure-20161130T143000.xml.gz,,data-20220624T213259-structure-20161130T143000.xml.gz,data-20220624T213259-structure-20161130T143000.xml.gz,False
20220623,data-20220623T132717-structure-20161130T143000.xml.gz,data-20220623T014823-structure-20161130T143000.xml.gz,data-20220623T014823-structure-20161130T143000.xml.gz,data-20220623T014823-structure-20161130T143000.xml.gz,,data-20220623T205949-structure-20161130T143000.xml.gz,data-20220623T205949-structure-20161130T143000.xml.gz,False
20220622,data-20220622T105535-structure-20161130T143000.xml.gz,data-20220622T013652-structure-20161130T143000.xml.gz,data-20220622T013652-structure-20161130T143000.xml.gz,data-20220622T013652-structure-20161130T143000.xml.gz,,data-20220622T205758-structure-20161130T143000.xml.gz,data-20220622T205758-structure-20161130T143000.xml.gz,False
20220619,data-20220619T015607-structure-20161130T143000.xml.gz,data-20220619T013851-structure-20161130T143000.xml.gz,data-20220619T013851-structure-20161130T143000.xml.gz,data-20220619T013851-structure-20161130T143000.xml.gz,,data-20220619T171246-structure-20161130T143000.xml.gz,data-20220619T171246-structure-20161130T143000.xml.gz,False
20220618,data-20220618T065805-structure-20161130T143000.xml.gz,data-20220618T013521-structure-20161130T143000.xml.gz,data-20220618T013521-structure-20161130T143000.xml.gz,data-20220618T013521-structure-20161130T143000.xml.gz,data-20220618T141555-structure-20161130T143000.xml.gz,data-20220618T173943-structure-20161130T143000.xml.gz,data-20220618T173943-structure-20161130T143000.xml.gz,False
20220617,data-20220617T073545-structure-20161130T143000.xml.gz,data-20220617T014620-structure-20161130T143000.xml.gz,data-20220617T014620-structure-20161130T143000.xml.gz,data-20220617T014620-structure-20161130T143000.xml.gz,data-20220617T171201-structure-20161130T143000.xml.gz,data-20220617T191809-structure-20161130T143000.xml.gz,data-20220617T191809-structure-20161130T143000.xml.gz,False
20220614,data-20220614T023216-structure-20161130T143000.xml.gz,data-20220614T014214-structure-20161130T143000.xml.gz,data-20220614T014214-structure-20161130T143000.xml.gz,data-20220614T014214-structure-20161130T143000.xml.gz,,data-20220614T200713-structure-20161130T143000.xml.gz,data-20220614T200713-structure-20161130T143000.xml.gz,False
20220613,data-20220613T020117-structure-20161130T143000.xml.gz,data-20220613T013132-structure-20161130T143000.xml.gz,data-20220613T013132-structure-20161130T143000.xml.gz,data-20220613T013132-structure-20161130T143000.xml.gz,,data-20220613T174143-structure-20161130T143000.xml.gz,data-20220613T174143-structure-20161130T143000.xml.gz,False
20220612,data-20220612T035337-structure-20161130T143000.xml.gz,data-20220612T014647-structure-20161130T143000.xml.gz,data-20220612T014647-structure-20161130T143000.xml.gz,data-20220612T014647-structure-20161130T143000.xml.gz,,data-20220612T173837-structure-20161130T143000.xml.gz,data-20220612T173837-structure-20161130T143000.xml.gz,False
20220607,data-20220607T033808-structure-20161130T143000.xml.gz,data-20220607T013545-structure-20161130T143000.xml.gz,data-20220607T013545-structure-20161130T143000.xml.gz,data-20220607T013545-structure-20161130T143000.xml.gz,,data-20220607T211205-structure-20161130T143000.xml.gz,data-20220607T211205-structure-20161130T143000.xml.gz,False
20220605,data-20220605T211028-structure-20161130T143000.xml.gz,data-20220605T012808-structure-20161130T143000.xml.gz,data-20220605T012808-structure-20161130T143000.xml.gz,data-20220605T012808-structure-20161130T143000.xml.gz,data-20220605T022816-structure-20161130T143000.xml.gz,data-20220605T181521-structure-20161130T143000.xml.gz,data-20220605T181521-structure-20161130T143000.xml.gz,False
20220604,data-20220604T224120-structure-20161130T143000.xml.gz,data-20220604T014920-structure-20161130T143000.xml.gz,data-20220604T014920-structure-20161130T143000.xml.gz,data-20220604T014920-structure-20161130T143000.xml.gz,data-20220604T042717-structure-20161130T143000.xml.gz,data-20220604T181110-structure-20161130T143000.xml.gz,data-20220604T181110-structure-20161130T143000.xml.gz,False
20220603,data-20220603T033516-structure-20161130T143000.xml.gz,data-20220603T013633-structure-20161130T143000.xml.gz,data-20220603T013633-structure-20161130T143000.xml.gz,data-20220603T013633-structure-20161130T143000.xml.gz,,data-20220603T195803-structure-20161130T143000.xml.gz,data-20220603T195803-structure-20161130T143000.xml.gz,False
20220601,data-20220601T145909-structure-20161130T143000.xml.gz,data-20220601T020654-structure-20161130T143000.xml.gz,data-20220601T020654-structure-20161130T143000.xml.gz,data-20220601T020654-structure-20161130T143000.xml.gz,data-20220601T084836-structure-20161130T143000.xml.gz,,,False
20220531,data-20220531T173936-structure-20161130T143000.xml.gz,data-20220531T014745-structure-20161130T143000.xml.gz,data-20220531T014745-structure-20161130T143000.xml.gz,data-20220531T014745-structure-20161130T143000.xml.gz,,data-20220531T201845-structure-20161130T143000.xml.gz,data-20220531T201845-structure-20161130T143000.xml.gz,False
20220529,data-20220529T071433-structure-20161130T143000.xml.gz,data-20220529T014500-structure-20161130T143000.xml.gz,data-20220529T014500-structure-20161130T143000.xml.gz,data-20220529T014500-structure-20161130T143000.xml.gz,data-20220529T193238-structure-20161130T143000.xml.gz,data-20220529T181432-structure-20161130T143000.xml.gz,data-20220529T181432-structure-20161130T143000.xml.gz,False
20220528,data-20220528T132036-structure-20161130T143000.xml.gz,data-20220528T015510-structure-20161130T143000.xml.gz,data-20220528T015510-structure-20161130T143000.xml.gz,data-20220528T015510-structure-20161130T143000.xml.gz,data-20220528T140711-structure-20161130T143000.xml.gz,data-20220528T181401-structure-20161130T143000.xml.gz,data-20220528T181401-structure-20161130T143000.xml.gz,False
20220526,data-20220526T095924-structure-20161130T143000.xml.gz,data-20220526T013740-structure-20161130T143000.xml.gz,data-20220526T013740-structure-20161130T143000.xml.gz,data-20220526T013740-structure-20161130T143000.xml.gz,data-20220526T055656-structure-20161130T143000.xml.gz,data-20220526T211543-structure-20161130T143000.xml.gz,data-20220526T211543-structure-20161130T143000.xml.gz,False
20220524,data-20220524T075328-structure-20161130T143000.xml.gz,data-20220524T014841-structure-20161130T143000.xml.gz,data-20220524T014841-structure-20161130T143000.xml.gz,data-20220524T014841-structure-20161130T143000.xml.gz,data-20220524T064251-structure-20161130T143000.xml.gz,data-20220524T204539-structure-20161130T143000.xml.gz,data-20220524T204539-structure-20161130T143000.xml.gz,False
20220523,data-20220523T003647-structure-20161130T143000.xml.gz,data-20220523T014224-structure-20161130T143000.xml.gz,data-20220523T014224-structure-20161130T143000.xml.gz,data-20220523T014224-structure-20161130T143000.xml.gz,data-20220523T203455-structure-20161130T143000.xml.gz,data-20220523T203958-structure-20161130T143000.xml.gz,data-20220523T203958-structure-20161130T143000.xml.gz,False
20220521,data-20220521T235101-structure-20161130T143000.xml.gz,data-20220521T013746-structure-20161130T143000.xml.gz,data-20220521T013746-structure-20161130T143000.xml.gz,data-20220521T013746-structure-20161130T143000.xml.gz,data-20220521T210957-structure-20161130T143000.xml.gz,data-20220521T173214-structure-20161130T143000.xml.gz,data-20220521T173214-structure-20161130T143000.xml.gz,False
20220520,data-20220520T011220-structure-20161130T143000.xml.gz,data-20220520T013541-structure-20161130T143000.xml.gz,data-20220520T013541-structure-20161130T143000.xml.gz,data-20220520T013541-structure-20161130T143000.xml.gz,data-20220520T192435-structure-20161130T143000.xml.gz,data-20220520T203358-structure-20161130T143000.xml.gz,data-20220520T203358-structure-20161130T143000.xml.gz,False
20220519,data-20220519T013946-structure-20161130T143000.xml.gz,data-20220519T013214-structure-20161130T143000.xml.gz,data-20220519T013214-structure-20161130T143000.xml.gz,data-20220519T013214-structure-20161130T143000.xml.gz,data-20220519T201647-structure-20161130T143000.xml.gz,data-20220519T205126-structure-20161130T143000.xml.gz,data-20220519T205126-structure-20161130T143000.xml.gz,False
20220517,data-20220517T232307-structure-20161130T143000.xml.gz,data-20220517T012528-structure-20161130T143000.xml.gz,data-20220517T012528-structure-20161130T143000.xml.gz,data-20220517T012528-structure-20161130T143000.xml.gz,data-20220517T235425-structure-20161130T143000.xml.gz,data-20220517T195116-structure-20161130T143000.xml.gz,data-20220517T195116-structure-20161130T143000.xml.gz,False
20220515,data-20220515T184231-structure-20161130T143000.xml.gz,data-20220515T012807-structure-20161130T143000.xml.gz,data-20220515T012807-structure-20161130T143000.xml.gz,data-20220515T012807-structure-20161130T143000.xml.gz,data-20220515T203044-structure-20161130T143000.xml.gz,data-20220515T165120-structure-20161130T143000.xml.gz,data-20220515T165120-structure-20161130T143000.xml.gz,False
20220514,data-20220514T195915-structure-20161130T143000.xml.gz,data-20220514T013958-structure-20161130T143000.xml.gz,data-20220514T013958-structure-20161130T143000.xml.gz,data-20220514T013958-structure-20161130T143000.xml.gz,data-20220514T192047-structure-20161130T143000.xml.gz,data-20220514T165959-structure-20161130T143000.xml.gz,data-20220514T165959-structure-20161130T143000.xml.gz,False
20220510,data-20220510T210818-structure-20161130T143000.xml.gz,data-20220510T013144-structure-20161130T143000.xml.gz,data-20220510T013144-structure-20161130T143000.xml.gz,data-20220510T013144-structure-20161130T143000.xml.gz,data-20220510T232900-structure-20161130T143000.xml.gz,data-20220510T171855-structure-20161130T143000.xml.gz,data-20220510T171855-structure-20161130T143000.xml.gz,False
20220509,data-20220509T201903-structure-20161130T143000.xml.gz,data-20220509T013133-structure-20161130T143000.xml.gz,data-20220509T013133-structure-20161130T143000.xml.gz,data-20220509T013133-structure-20161130T143000.xml.gz,data-20220509T185321-structure-20161130T143000.xml.gz,data-20220509T164636-structure-20161130T143000.xml.gz,data-20220509T164636-structure-20161130T143000.xml.gz,False
20220508,data-20220508T215807-structure-20161130T143000.xml.gz,data-20220508T014600-structure-20161130T143000.xml.gz,data-20220508T014600-structure-20161130T143000.xml.gz,data-20220508T014600-structure-20161130T143000.xml.gz,data-20220508T220952-structure-20161130T143000.xml.gz,data-20220508T165053-structure-20161130T143000.xml.gz,data-20220508T165053-structure-20161130T143000.xml.gz,False
20220507,data-20220507T234004-structure-20161130T143000.xml.gz,data-20220507T014621-structure-20161130T143000.xml.gz,data-20220507T014621-structure-20161130T143000.xml.gz,data-20220507T014621-structure-20161130T143000.xml.gz,data-20220507T233249-structure-20161130T143000.xml.gz,data-20220507T171633-structure-20161130T143000.xml.gz,data-20220507T171633-structure-20161130T143000.xml.gz,False
20220506,data-20220506T033654-structure-20161130T143000.xml.gz,data-20220506T015134-structure-20161130T143000.xml.gz,data-20220506T015134-structure-20161130T143000.xml.gz,data-20220506T015134-structure-20161130T143000.xml.gz,data-20220506T215329-structure-20161130T143000.xml.gz,data-20220506T201627-structure-20161130T143000.xml.gz,data-20220506T201627-structure-20161130T143000.xml.gz,False
20220505,data-20220505T030406-structure-20161130T143000.xml.gz,data-20220505T013911-structure-20161130T143000.xml.gz,data-20220505T013911-structure-20161130T143000.xml.gz,data-20220505T013911-structure-20161130T143000.xml.gz,data-20220505T162902-structure-20161130T143000.xml.gz,data-20220505T204502-structure-20161130T143000.xml.gz,data-20220505T204502-structure-20161130T143000.xml.gz,False
20220503,data-20220503T215805-structure-20161130T143000.xml.gz,data-20220503T013427-structure-20161130T143000.xml.gz,data-20220503T013427-structure-20161130T143000.xml.gz,data-20220503T013427-structure-20161130T143000.xml.gz,data-20220503T195651-structure-20161130T143000.xml.gz,data-20220503T165245-structure-20161130T143000.xml.gz,data-20220503T165245-structure-20161130T143000.xml.gz,False
20220502,data-20220502T212204-structure-20161130T143000.xml.gz,data-20220502T013351-structure-20161130T143000.xml.gz,data-20220502T013351-structure-20161130T143000.xml.gz,data-20220502T013351-structure-20161130T143000.xml.gz,data-20220502T211406-structure-20161130T143000.xml.gz,data-20220502T164628-structure-20161130T143000.xml.gz,data-20220502T164628-structure-20161130T143000.xml.gz,False
20220501,data-20220501T211109-structure-20161130T143000.xml.gz,data-20220501T013734-structure-20161130T143000.xml.gz,data-20220501T013734-structure-20161130T143000.xml.gz,data-20220501T013734-structure-20161130T143000.xml.gz,data-20220501T233441-structure-20161130T143000.xml.gz,data-20220501T164415-structure-20161130T143000.xml.gz,data-20220501T164415-structure-20161130T143000.xml.gz,False
20220430,data-20220430T220701-structure-20161130T143000.xml.gz,data-20220430T013258-structure-20161130T143000.xml.gz,data-20220430T013258-structure-20161130T143000.xml.gz,data-20220430T013258-structure-20161130T143000.xml.gz,data-20220430T184716-structure-20161130T143000.xml.gz,data-20220430T165552-structure-20161130T143000.xml.gz,data-20220430T165552-structure-20161130T143000.xml.gz,False
20220429,data-20220429T231357-structure-20161130T143000.xml.gz,data-20220429T012821-structure-20161130T143000.xml.gz,data-20220429T012821-structure-20161130T143000.xml.gz,data-20220429T012821-structure-20161130T143000.xml.gz,data-20220429T195921-structure-20161130T143000.xml.gz,data-20220429T185458-structure-20161130T143000.xml.gz,data-20220429T185458-structure-20161130T143000.xml.gz,False
20220427,data-20220427T223814-structure-20161130T143000.xml.gz,data-20220427T012456-structure-20161130T143000.xml.gz,data-20220427T012456-structure-20161130T143000.xml.gz,data-20220427T012456-structure-20161130T143000.xml.gz,data-20220427T231626-structure-20161130T143000.xml.gz,data-20220427T190159-structure-20161130T143000.xml.gz,data-20220427T190159-structure-20161130T143000.xml.gz,False
20220425,data-20220425T231129-structure-20161130T143000.xml.gz,data-20220425T012505-structure-20161130T143000.xml.gz,data-20220425T012505-structure-20161130T143000.xml.gz,data-20220425T012505-structure-20161130T143000.xml.gz,data-20220425T190937-structure-20161130T143000.xml.gz,data-20220425T191510-structure-20161130T143000.xml.gz,data-20220425T191510-structure-20161130T143000.xml.gz,False
20220424,data-20220424T184407-structure-20161130T143000.xml.gz,data-20220424T012458-structure-20161130T143000.xml.gz,data-20220424T012458-structure-20161130T143000.xml.gz,data-20220424T012458-structure-20161130T143000.xml.gz,data-20220424T200840-structure-20161130T143000.xml.gz,data-20220424T161814-structure-20161130T143000.xml.gz,data-20220424T161814-structure-20161130T143000.xml.gz,False
20220423,data-20220423T204430-structure-20161130T143000.xml.gz,data-20220423T013233-structure-20161130T143000.xml.gz,data-20220423T013233-structure-20161130T143000.xml.gz,data-20220423T013233-structure-20161130T143000.xml.gz,data-20220423T114710-structure-20161130T143000.xml.gz,data-20220423T163828-structure-20161130T143000.xml.gz,data-20220423T163828-structure-20161130T143000.xml.gz,False
20220422,data-20220422T000047-structure-20161130T143000.xml.gz,data-20220422T013343-structure-20161130T143000.xml.gz,data-20220422T013343-structure-20161130T143000.xml.gz,data-20220422T013343-structure-20161130T143000.xml.gz,data-20220422T210938-structure-20161130T143000.xml.gz,data-20220422T185100-structure-20161130T143000.xml.gz,data-20220422T185100-structure-20161130T143000.xml.gz,False
20220421,data-20220421T011904-structure-20161130T143000.xml.gz,data-20220421T012641-structure-20161130T143000.xml.gz,data-20220421T012641-structure-20161130T143000.xml.gz,data-20220421T012641-structure-20161130T143000.xml.gz,data-20220421T203808-structure-20161130T143000.xml.gz,data-20220421T182412-structure-20161130T143000.xml.gz,data-20220421T182412-structure-20161130T143000.xml.gz,False
20220420,data-20220420T003203-structure-20161130T143000.xml.gz,data-20220420T013647-structure-20161130T143000.xml.gz,data-20220420T013647-structure-20161130T143000.xml.gz,data-20220420T013647-structure-20161130T143000.xml.gz,data-20220420T210224-structure-20161130T143000.xml.gz,data-20220420T185724-structure-20161130T143000.xml.gz,data-20220420T185724-structure-20161130T143000.xml.gz,False
20220419,data-20220419T002925-structure-20161130T143000.xml.gz,data-20220419T013421-structure-20161130T143000.xml.gz,data-20220419T013421-structure-20161130T143000.xml.gz,data-20220419T013421-structure-20161130T143000.xml.gz,data-20220419T203952-structure-20161130T143000.xml.gz,data-20220419T184538-structure-20161130T143000.xml.gz,data-20220419T184538-structure-20161130T143000.xml.gz,False
20220417,data-20220417T201449-structure-20161130T143000.xml.gz,data-20220417T013209-structure-20161130T143000.xml.gz,data-20220417T013209-structure-20161130T143000.xml.gz,data-20220417T013209-structure-20161130T143000.xml.gz,data-20220417T235536-structure-20161130T143000.xml.gz,data-20220417T161750-structure-20161130T143000.xml.gz,data-20220417T161750-structure-20161130T143000.xml.gz,False
20220416,data-20220416T214900-structure-20161130T143000.xml.gz,data-20220416T012947-structure-20161130T143000.xml.gz,data-20220416T012947-structure-20161130T143000.xml.gz,data-20220416T012947-structure-20161130T143000.xml.gz,,data-20220416T163720-structure-20161130T143000.xml.gz,data-20220416T163720-structure-20161130T143000.xml.gz,False
20220414,data-20220414T040040-structure-20161130T143000.xml.gz,data-20220414T013408-structure-20161130T143000.xml.gz,data-20220414T013408-structure-20161130T143000.xml.gz,data-20220414T013408-structure-20161130T143000.xml.gz,data-20220414T053317-structure-20161130T143000.xml.gz,data-20220414T185618-structure-20161130T143000.xml.gz,data-20220414T185618-structure-20161130T143000.xml.gz,False
20220413,data-20220413T034128-structure-20161130T143000.xml.gz,data-20220413T013906-structure-20161130T143000.xml.gz,data-20220413T013906-structure-20161130T143000.xml.gz,data-20220413T013906-structure-20161130T143000.xml.gz,data-20220413T115546-structure-20161130T143000.xml.gz,data-20220413T191151-structure-20161130T143000.xml.gz,data-20220413T191151-structure-20161130T143000.xml.gz,False
20220412,data-20220412T021930-structure-20161130T143000.xml.gz,data-20220412T012925-structure-20161130T143000.xml.gz,data-20220412T012925-structure-20161130T143000.xml.gz,data-20220412T012925-structure-20161130T143000.xml.gz,data-20220412T175616-structure-20161130T143000.xml.gz,data-20220412T193743-structure-20161130T143000.xml.gz,data-20220412T193743-structure-20161130T143000.xml.gz,False
20220410,data-20220410T192552-structure-20161130T143000.xml.gz,data-20220410T012722-structure-20161130T143000.xml.gz,data-20220410T012722-structure-20161130T143000.xml.gz,data-20220410T012722-structure-20161130T143000.xml.gz,data-20220410T224022-structure-20161130T143000.xml.gz,data-20220410T161859-structure-20161130T143000.xml.gz,data-20220410T161859-structure-20161130T143000.xml.gz,False
20220409,data-20220409T224901-structure-20161130T143000.xml.gz,data-20220409T014442-structure-20161130T143000.xml.gz,data-20220409T014442-structure-20161130T143000.xml.gz,data-20220409T014442-structure-20161130T143000.xml.gz,data-20220409T111201-structure-20161130T143000.xml.gz,data-20220409T164441-structure-20161130T143000.xml.gz,data-20220409T164441-structure-20161130T143000.xml.gz,False
20220406,data-20220406T013621-structure-20161130T143000.xml.gz,data-20220406T013502-structure-20161130T143000.xml.gz,data-20220406T013502-structure-20161130T143000.xml.gz,data-20220406T013502-structure-20161130T143000.xml.gz,,data-20220406T200758-structure-20161130T143000.xml.gz,data-20220406T200758-structure-20161130T143000.xml.gz,False
20220405,data-20220405T011455-structure-20161130T143000.xml.gz,data-20220405T013043-structure-20161130T143000.xml.gz,data-20220405T013043-structure-20161130T143000.xml.gz,data-20220405T013043-structure-20161130T143000.xml.gz,,data-20220405T201119-structure-20161130T143000.xml.gz,data-20220405T201119-structure-20161130T143000.xml.gz,False
20220403,data-20220403T174900-structure-20161130T143000.xml.gz,data-20220403T013016-structure-20161130T143000.xml.gz,data-20220403T013016-structure-20161130T143000.xml.gz,data-20220403T013016-structure-20161130T143000.xml.gz,,data-20220403T160236-structure-20161130T143000.xml.gz,data-20220403T160236-structure-20161130T143000.xml.gz,False
20220402,data-20220402T182809-structure-20161130T143000.xml.gz,data-20220402T013019-structure-20161130T143000.xml.gz,data-20220402T013019-structure-20161130T143000.xml.gz,data-20220402T013019-structure-20161130T143000.xml.gz,data-20220402T153435-structure-20161130T143000.xml.gz,data-20220402T161318-structure-20161130T143000.xml.gz,data-20220402T161318-structure-20161130T143000.xml.gz,False
20220401,data-20220401T024057-structure-20161130T143000.xml.gz,,,,data-20220401T173546-structure-20161130T143000.xml.gz,data-20220401T192614-structure-20161130T143000.xml.gz,data-20220401T192614-structure-20161130T143000.xml.gz,False
20220329,data-20220329T023545-structure-20161130T143000.xml.gz,,,,data-20220329T224033-structure-20161130T143000.xml.gz,data-20220329T201138-structure-20161130T143000.xml.gz,data-20220329T201138-structure-20161130T143000.xml.gz,False
20220327,data-20220327T205205-structure-20161130T143000.xml.gz,,,,data-20220327T182244-structure-20161130T143000.xml.gz,data-20220327T161927-structure-20161130T143000.xml.gz,data-20220327T161927-structure-20161130T143000.xml.gz,False
20220326,data-20220326T204349-structure-20161130T143000.xml.gz,,,,data-20220326T183919-structure-20161130T143000.xml.gz,data-20220326T163432-structure-20161130T143000.xml.gz,data-20220326T163432-structure-20161130T143000.xml.gz,False
20220323,data-20220323T001034-structure-20161130T143000.xml.gz,data-20220323T013420-structure-20161130T143000.xml.gz,data-20220323T013420-structure-20161130T143000.xml.gz,data-20220323T013420-structure-20161130T143000.xml.gz,data-20220323T223640-structure-20161130T143000.xml.gz,data-20220323T191035-structure-20161130T143000.xml.gz,data-20220323T191035-structure-20161130T143000.xml.gz,False
20220321,data-20220321T225826-structure-20161130T143000.xml.gz,data-20220321T012636-structure-20161130T143000.xml.gz,data-20220321T012636-structure-20161130T143000.xml.gz,data-20220321T012636-structure-20161130T143000.xml.gz,data-20220321T210630-structure-20161130T143000.xml.gz,data-20220321T183050-structure-20161130T143000.xml.gz,data-20220321T183050-structure-20161130T143000.xml.gz,False
20220320,data-20220320T181019-structure-20161130T143000.xml.gz,data-20220320T012652-structure-20161130T143000.xml.gz,data-20220320T012652-structure-20161130T143000.xml.gz,data-20220320T012652-structure-20161130T143000.xml.gz,data-20220320T225643-structure-20161130T143000.xml.gz,data-20220320T155725-structure-20161130T143000.xml.gz,data-20220320T155725-structure-20161130T143000.xml.gz,False
20220319,data-20220319T233923-structure-20161130T143000.xml.gz,data-20220319T022824-structure-20161130T143000.xml.gz,data-20220319T022824-structure-20161130T143000.xml.gz,data-20220319T022824-structure-20161130T143000.xml.gz,,data-20220319T165436-structure-20161130T143000.xml.gz,data-20220319T165436-structure-20161130T143000.xml.gz,False
20220313,data-20220313T234225-structure-20161130T143000.xml.gz,data-20220313T015548-structure-20161130T143000.xml.gz,data-20220313T015548-structure-20161130T143000.xml.gz,data-20220313T015548-structure-20161130T143000.xml.gz,data-20220313T205915-structure-20161130T143000.xml.gz,data-20220313T172733-structure-20161130T143000.xml.gz,data-20220313T172733-structure-20161130T143000.xml.gz,False
20220311,data-20220311T224129-structure-20161130T143000.xml.gz,data-20220311T014447-structure-20161130T143000.xml.gz,data-20220311T014447-structure-20161130T143000.xml.gz,data-20220311T014447-structure-20161130T143000.xml.gz,,data-20220311T202715-structure-20161130T143000.xml.gz,data-20220311T202715-structure-20161130T143000.xml.gz,False
20220310,data-20220310T015001-structure-20161130T143000.xml.gz,data-20220310T014030-structure-20161130T143000.xml.gz,data-20220310T014030-structure-20161130T143000.xml.gz,data-20220310T014030-structure-20161130T143000.xml.gz,data-20220310T032513-structure-20161130T143000.xml.gz,data-20220310T202011-structure-20161130T143000.xml.gz,data-20220310T202011-structure-20161130T143000.xml.gz,False
20220308,data-20220308T183938-structure-20161130T143000.xml.gz,data-20220308T013613-structure-20161130T143000.xml.gz,data-20220308T013613-structure-20161130T143000.xml.gz,data-20220308T013613-structure-20161130T143000.xml.gz,data-20220308T201257-structure-20161130T143000.xml.gz,data-20220308T162853-structure-20161130T143000.xml.gz,data-20220308T162853-structure-20161130T143000.xml.gz,False
20220307,data-20220307T194745-structure-20161130T143000.xml.gz,data-20220307T013411-structure-20161130T143000.xml.gz,data-20220307T013411-structure-20161130T143000.xml.gz,data-20220307T013411-structure-20161130T143000.xml.gz,data-20220307T235856-structure-20161130T143000.xml.gz,data-20220307T170016-structure-20161130T143000.xml.gz,data-20220307T170016-structure-20161130T143000.xml.gz,False
20220306,data-20220306T184228-structure-20161130T143000.xml.gz,data-20220306T013614-structure-20161130T143000.xml.gz,data-20220306T013614-structure-20161130T143000.xml.gz,data-20220306T013614-structure-20161130T143000.xml.gz,data-20220306T202318-structure-20161130T143000.xml.gz,data-20220306T163125-structure-20161130T143000.xml.gz,data-20220306T163125-structure-20161130T143000.xml.gz,False
20220303,data-20220303T031802-structure-20161130T143000.xml.gz,data-20220303T013052-structure-20161130T143000.xml.gz,data-20220303T013052-structure-20161130T143000.xml.gz,data-20220303T013052-structure-20161130T143000.xml.gz,data-20220303T140751-structure-20161130T143000.xml.gz,data-20220303T200812-structure-20161130T143000.xml.gz,data-20220303T200812-structure-20161130T143000.xml.gz,False
20220227,data-20220227T170702-structure-20161130T143000.xml.gz,data-20220227T013413-structure-20161130T143000.xml.gz,data-20220227T013413-structure-20161130T143000.xml.gz,data-20220227T013413-structure-20161130T143000.xml.gz,data-20220227T182623-structure-20161130T143000.xml.gz,data-20220227T162938-structure-20161130T143000.xml.gz,data-20220227T162938-structure-20161130T143000.xml.gz,False
20220226,data-20220226T183458-structure-20161130T143000.xml.gz,data-20220226T014128-structure-20161130T143000.xml.gz,data-20220226T014128-structure-20161130T143000.xml.gz,data-20220226T014128-structure-20161130T143000.xml.gz,data-20220226T212743-structure-20161130T143000.xml.gz,data-20220226T163942-structure-20161130T143000.xml.gz,data-20220226T163942-structure-20161130T143000.xml.gz,False
20220224,data-20220224T235403-structure-20161130T143000.xml.gz,,,,data-20220224T194907-structure-20161130T143000.xml.gz,data-20220224T191305-structure-20161130T143000.xml.gz,data-20220224T191305-structure-20161130T143000.xml.gz,False
20220223,data-20220223T192955-structure-20161130T143000.xml.gz,,,,data-20220223T235906-structure-20161130T143000.xml.gz,data-20220223T163855-structure-20161130T143000.xml.gz,data-20220223T163855-structure-20161130T143000.xml.gz,False
